State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code,rainfall(mm),max_temperature,min_temperature,humidity(%),flood_index,drought_index,season
Andhra Pradesh,Kurnool,Kurnool,Dry Chillies,Local,Medium,01-01-2017,2800,11000,7050,132,0.0,28.0,17.5,75.7,0,0,Winter
Andhra Pradesh,Kurnool,Alur,Onion,Beelary-Red,Medium,01-01-2017,600,800,700,23,0.0,28.0,17.5,75.7,0,0,Winter
Telangana,Hyderabad,Bowenpally,Potato,Potato,Medium,01-01-2017,400,1200,1000,24,0.0,30.0,17.0,75.3,0,0,Winter
Telangana,Hyderabad,Gudimalkapur,Tomato,Tomato,Large,01-01-2017,100,300,200,78,0.0,30.0,17.0,75.3,0,0,Winter
Telangana,Hyderabad,Bowenpally,Onion,Onion,Medium,01-01-2017,400,800,600,23,0.0,30.0,17.0,75.3,0,0,Winter
Telangana,Hyderabad,L B Nagar,Potato,Potato,Medium,01-01-2017,600,700,650,24,0.0,30.0,17.0,75.3,0,0,Winter
Telangana,Hyderabad,Gudimalkapur,Potato,Potato,Large,01-01-2017,400,700,500,24,0.0,30.0,17.0,75.3,0,0,Winter
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,Medium,01-01-2017,100,520,320,23,0.0,28.0,17.5,75.7,0,0,Winter
Telangana,Hyderabad,Bowenpally,Tomato,Tomato,Medium,01-01-2017,200,800,600,78,0.0,30.0,17.0,75.3,0,0,Winter
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,Medium,01-01-2017,1500,1800,1600,23,0.0,28.0,17.5,75.7,0,0,Winter
Andhra Pradesh,Kurnool,Pattikonda,Tomato,Local,Medium,01-01-2017,600,800,700,78,0.0,28.0,17.5,75.7,0,0,Winter
Telangana,Hyderabad,L B Nagar,Tomato,Tomato,Medium,01-01-2017,200,300,250,78,0.0,30.0,17.0,75.3,0,0,Winter
